text,happiness,surprise,disgust,anger,neutral
im grabbing a minute to post i feel greedy wrong,0,0,0,1,0
i am feeling grouchy,0,0,1,1,0
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,0,1,0,0,0
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,0,0,0,0
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,0,0,0,0
i think it s the easiest time of year to feel dissatisfied,0,0,0,1,0
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,0,0,0,0
i do not feel reassured anxiety is on each side,1,0,0,0,0
i feel irritated and rejected without anyone doing anything or saying anything,0,0,0,1,0
i have the feeling she was amused and delighted,1,0,0,0,0
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,0,0,0,0
i already feel like i fucked up though because i dont usually eat at all in the morning,0,0,0,1,0
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,0,0,1,1,0
i feel more superior dead chicken or grieving child,1,0,0,0,0
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,0,0,0,0
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,0,1,0,0,0
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,0,0,0,1,0
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,0,0,0,0
i am not sure what would make me feel content if anything,1,0,0,0,0
i have been feeling the need to be creative,1,0,0,0,0
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,0,0,0,0
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,0,0,0,1,0
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,0,0,0,0
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,0,0,0,0
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,0,0,0,0
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,0,0,0,0
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,0,0,1,0
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,0,0,0,0
on a boat trip to denmark,1,0,0,0,0
i stopped feeling cold and began feeling hot,0,0,0,1,0
i need to feel the dough to make sure its just perfect,1,0,0,0,0
i feel selfish and spoiled,0,0,0,1,0
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,0,0,0,0
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,0,1,0,0,0
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,0,0,0,0
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,0,0,0,0
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,0,0,0,0
